,detected_entity,brand_id,model_id,year,ybm_id,org_id
89,SERIES,0,3,0,0,240215.0
90,SERIES,0,3,0,0,246084.0
91,SERIES,0,3,0,0,246085.0
92,3,0,3,0,0,246442.0
93,SERIES,0,3,0,0,247699.0
94,3,0,3,0,0,248639.0
95,3,0,3,0,0,249150.0
96,SERIES,0,3,0,0,250012.0
97,SERIES,0,3,0,0,250049.0
98,SERIES,0,3,0,0,250175.0
99,SERIES,0,3,0,0,250488.0
100,SERIES,0,3,0,0,253929.0
101,SERIES,0,3,0,0,254219.0
102,SERIES,0,3,0,0,254885.0
103,SERIES,0,3,0,0,254919.0
104,SERIES,0,3,0,0,255415.0
105,SERIES,0,3,0,0,255740.0
106,3,0,3,0,0,267015.0
107,3,0,3,0,0,268079.0
108,SERIES,0,3,0,0,281814.0
109,3,0,3,0,0,294823.0
110,3,0,3,0,0,295470.0
111,3,0,3,0,0,307946.0
112,SERIES,0,3,0,0,308800.0
113,300,0,5,0,0,1474.0
114,300,0,5,0,0,1522.0
115,300,0,5,2003,0,3325.0
116,M,0,5,0,0,3493.0
117,M,0,5,0,0,3533.0
118,300,0,5,0,0,5516.0
119,M,0,5,0,0,5897.0
120,300,0,5,0,0,11210.0
121,M,0,5,0,0,12051.0
122,M,0,5,0,0,14267.0
123,M,0,5,0,0,14271.0
124,M,0,5,0,0,14274.0
125,M,0,5,0,0,14281.0
126,M,0,5,0,0,14284.0
127,M,0,5,2002,0,14867.0
128,M,0,5,0,0,15507.0
129,M,0,5,0,0,20049.0
130,M,0,5,0,0,20630.0
131,M,0,5,0,0,20633.0
132,M,0,5,0,0,20634.0
133,M,0,5,0,0,20652.0
134,M,0,5,0,0,20654.0
135,M,0,5,0,0,20914.0
136,M,0,5,0,0,21085.0
137,M,0,5,0,0,21874.0
138,M,0,5,0,0,23184.0
139,M,0,5,0,0,23463.0
140,M,0,5,0,0,23466.0
141,M,0,5,0,0,23476.0
142,M,0,5,0,0,23927.0
143,M,0,5,0,0,23987.0
144,M,0,5,0,0,23991.0
145,M,0,5,0,0,51460.0
146,300,0,5,2003,0,54260.0
147,M,0,5,0,0,56264.0
148,300,0,5,0,0,56284.0
149,300,0,5,0,0,56306.0
150,300,0,5,0,0,56313.0
151,300,0,5,0,0,56323.0
152,300,0,5,0,0,56356.0
153,300,0,5,0,0,56417.0
154,300,0,5,0,0,56609.0
155,300,0,5,0,0,56637.0
156,300,0,5,0,0,56693.0
157,300,0,5,0,0,56701.0
158,300,0,5,0,0,56726.0
159,300,0,5,0,0,56958.0
160,300,0,5,0,0,57045.0
161,300,0,5,0,0,57059.0
162,300,0,5,0,0,57074.0
163,300,0,5,0,0,57128.0
164,300,0,5,0,0,57133.0
165,M,0,5,2002,0,57691.0
166,M,0,5,0,0,60036.0
167,300,0,5,0,0,63200.0
168,300,0,5,0,0,88341.0
169,300,0,5,0,0,93445.0
170,M,0,5,0,0,96608.0
171,300,0,5,0,0,96625.0
172,M,0,5,0,0,100282.0
173,M,0,5,0,0,110438.0
174,300,0,5,0,0,127419.0
175,M,0,5,0,0,129119.0
176,300,0,5,0,0,131266.0
177,300,0,5,0,0,132465.0
178,M,0,5,0,0,133259.0
179,300,0,5,0,0,138579.0
180,M,0,5,0,0,146852.0
181,M,0,5,0,0,149558.0
182,M,0,5,0,0,149650.0
183,M,0,5,0,0,149657.0
184,M,0,5,0,0,149789.0
185,M,0,5,0,0,149890.0
186,M,0,5,0,0,149959.0
187,M,0,5,0,0,149968.0
188,M,0,5,0,0,152482.0
189,300,0,5,0,0,156730.0
190,M,0,5,0,0,159044.0
191,M,0,5,0,0,169999.0
192,M,0,5,0,0,171340.0
193,300,0,5,0,0,171826.0
194,300,0,5,0,0,171840.0
195,300,0,5,0,0,171850.0
196,300,0,5,0,0,171851.0
197,300,0,5,0,0,171971.0
198,300,0,5,0,0,172048.0
199,300,0,5,0,0,173291.0
200,300,0,5,0,0,173778.0
201,300,0,5,0,0,173825.0
202,M,0,5,0,0,175657.0
203,M,0,5,0,0,176784.0
204,300,0,5,0,0,177005.0
205,M,0,5,0,0,179418.0
206,M,0,5,0,0,187941.0
207,M,0,5,0,0,188115.0
208,300,0,5,0,0,194054.0
209,M,0,5,0,0,198609.0
210,M,0,5,0,0,198720.0
211,M,0,5,0,0,198900.0
212,M,0,5,0,0,202250.0
213,300,0,5,0,0,208987.0
214,M,0,5,0,0,210517.0
215,300,0,5,0,0,213592.0
216,300,0,5,2002,0,239582.0
217,M,0,5,0,0,244235.0
218,M,0,5,0,0,246032.0
219,300,0,5,0,0,268349.0
220,300,0,5,0,0,268390.0
221,M,0,5,0,0,278393.0
222,M,0,5,0,0,294272.0
223,M,0,5,0,0,298652.0
224,M,0,5,2003,0,302584.0
225,M,0,5,0,0,302735.0
226,300,0,5,0,0,306256.0
227,M,0,5,0,0,309198.0
228,350Z,0,7,0,0,213320.0
229,370Z,0,8,0,0,213923.0
230,PASS,0,10,0,0,12149.0
231,PASS,0,10,0,0,54368.0
232,PASS,0,10,0,0,68407.0
233,4RUNNER,0,10,0,0,73149.0
234,PASS,0,10,0,0,90661.0
235,PASS,0,10,0,0,103079.0
236,4RUNNER,0,10,0,0,122313.0
237,PASS,0,10,0,0,122426.0
238,PASS,0,10,0,0,144389.0
239,PASS,0,10,0,0,147232.0
240,PASS,0,10,0,0,167929.0
241,4RUNNER,0,10,2003,0,173019.0
242,4RUNNER,0,10,0,0,183753.0
243,PASS,0,10,0,0,213774.0
244,PASS,0,10,0,0,217902.0
245,PASS,0,10,0,0,218131.0
246,4RUNNER,0,10,0,0,224915.0
247,4RUNNER,0,10,0,0,224941.0
248,PASS,0,10,0,0,225172.0
249,PASS,0,10,0,0,259585.0
250,PASS,0,10,0,0,265158.0
251,4RUNNER,0,10,0,0,265628.0
252,4RUNNER,0,10,0,0,265671.0
253,4RUNNER,0,10,0,0,265922.0
254,4RUNNER,0,10,0,0,265956.0
255,4RUNNER,0,10,0,0,266121.0
256,4RUNNER,0,10,0,0,266305.0
257,4RUNNER,0,10,0,0,266315.0
258,4RUNNER,0,10,0,0,266380.0
259,4RUNNER,0,10,0,0,266411.0
260,4RUNNER,0,10,0,0,266413.0
261,4RUNNER,0,10,0,0,266496.0
262,4RUNNER,0,10,0,0,266804.0
263,4RUNNER,0,10,0,0,266842.0
264,4RUNNER,0,10,2003,0,266887.0
265,4RUNNER,0,10,0,0,268403.0
266,PASS,0,10,0,0,285253.0
267,PASS,0,10,0,0,290258.0
268,PASS,0,10,0,0,295712.0
269,5,0,11,0,0,5255.0
270,SERIES,0,11,0,0,5814.0
271,5,0,11,0,0,9595.0
272,SERIES,0,11,0,0,11168.0
273,5,0,11,0,0,11408.0
274,SERIES,0,11,0,0,12955.0
275,SERIES,0,11,0,0,17717.0
276,5,0,11,0,0,17735.0
277,SERIES,0,11,0,0,20103.0
278,SERIES,0,11,0,0,25835.0
279,5,0,11,0,0,28753.0
280,SERIES,0,11,0,0,29057.0
281,5,0,11,0,0,29283.0
282,SERIES,0,11,0,0,29654.0
283,5,0,11,0,0,29742.0
284,SERIES,0,11,0,0,32317.0
285,5,0,11,0,0,43884.0
286,SERIES,0,11,0,0,56950.0
287,SERIES,0,11,0,0,57050.0
288,SERIES,0,11,0,0,57131.0
289,SERIES,0,11,0,0,58027.0
290,SERIES,0,11,0,0,59360.0
291,SERIES,0,11,0,0,61284.0
292,SERIES,0,11,0,0,63206.0
293,SERIES,0,11,0,0,63214.0
294,SERIES,0,11,0,0,63230.0
295,SERIES,0,11,0,0,63407.0
296,SERIES,0,11,0,0,63436.0
297,SERIES,0,11,0,0,75230.0
298,SERIES,0,11,0,0,87235.0
299,5,0,11,0,0,96080.0
300,5,0,11,0,0,113393.0
301,SERIES,0,11,0,0,133844.0
302,5,0,11,0,0,134497.0
303,SERIES,0,11,0,0,138300.0
304,5,0,11,0,0,142329.0
305,SERIES,0,11,0,0,148407.0
306,5,0,11,0,0,148740.0
307,5,0,11,0,0,149540.0
308,5,0,11,0,0,150092.0
309,SERIES,0,11,0,0,153049.0
310,SERIES,0,11,0,0,153555.0
311,SERIES,0,11,0,0,157590.0
312,5,0,11,0,0,162190.0
313,5,0,11,0,0,163223.0
314,SERIES,0,11,0,0,168927.0
315,SERIES,0,11,0,0,169645.0
316,5,0,11,0,0,170737.0
317,5,0,11,0,0,171651.0
318,SERIES,0,11,0,0,172004.0
319,5,0,11,0,0,175147.0
320,SERIES,0,11,0,0,175657.0
321,SERIES,0,11,0,0,178527.0
322,5,0,11,0,0,178692.0
323,5,0,11,0,0,178903.0
324,SERIES,0,11,0,0,180940.0
325,5,0,11,0,0,185396.0
326,SERIES,0,11,0,0,194052.0
327,SERIES,0,11,0,0,194054.0
328,5,0,11,0,0,196243.0
329,5,0,11,0,0,196959.0
330,SERIES,0,11,2004,0,196990.0
331,SERIES,0,11,0,0,216711.0
332,5,0,11,0,0,220344.0
333,5,0,11,0,0,221671.0
334,SERIES,0,11,0,0,223727.0
335,5,0,11,0,0,225196.0
336,SERIES,0,11,0,0,235744.0
337,SERIES,0,11,0,0,237784.0
338,SERIES,0,11,0,0,240215.0
339,SERIES,0,11,0,0,246084.0
340,SERIES,0,11,0,0,246085.0
341,5,0,11,0,0,247547.0
342,SERIES,0,11,0,0,247699.0
343,SERIES,0,11,0,0,250012.0
344,SERIES,0,11,0,0,250049.0
345,SERIES,0,11,0,0,250175.0
346,SERIES,0,11,0,0,250488.0
347,SERIES,0,11,0,0,253929.0
348,SERIES,0,11,0,0,254219.0
349,SERIES,0,11,0,0,254885.0
350,SERIES,0,11,0,0,254919.0
351,SERIES,0,11,0,0,255415.0
352,SERIES,0,11,0,0,255740.0
353,SERIES,0,11,0,0,281814.0
354,5,0,11,0,0,293269.0
355,SERIES,0,11,0,0,308800.0
356,50,0,12,0,0,11401.0
357,60,0,14,0,0,98261.0
358,60,0,14,0,0,196507.0
359,626,0,15,0,0,181270.0
360,626,0,15,0,0,181275.0
361,SERIES,0,16,0,0,5814.0
362,SERIES,0,16,0,0,11168.0
363,7,0,16,0,0,12143.0
364,SERIES,0,16,0,0,12955.0
365,SERIES,0,16,0,0,17717.0
366,SERIES,0,16,0,0,20103.0
367,SERIES,0,16,0,0,25835.0
368,SERIES,0,16,0,0,29057.0
369,SERIES,0,16,0,0,29654.0
370,SERIES,0,16,0,0,32317.0
371,SERIES,0,16,0,0,56950.0
372,SERIES,0,16,0,0,57050.0
373,SERIES,0,16,0,0,57131.0
374,SERIES,0,16,0,0,58027.0
375,SERIES,0,16,0,0,59360.0
376,SERIES,0,16,0,0,61284.0
377,SERIES,0,16,0,0,63206.0
378,SERIES,0,16,0,0,63214.0
379,SERIES,0,16,0,0,63230.0
380,SERIES,0,16,0,0,63407.0
381,7,0,16,0,0,63434.0
382,SERIES,0,16,0,0,63436.0
383,SERIES,0,16,0,0,75230.0
384,SERIES,0,16,0,0,87235.0
385,SERIES,0,16,0,0,133844.0
386,SERIES,0,16,0,0,138300.0
387,SERIES,0,16,0,0,148407.0
388,SERIES,0,16,0,0,153049.0
389,7,0,16,0,0,153499.0
390,SERIES,0,16,0,0,153555.0
391,SERIES,0,16,0,0,157590.0
392,SERIES,0,16,0,0,168927.0
393,SERIES,0,16,0,0,169645.0
394,7,0,16,0,0,170394.0
395,SERIES,0,16,0,0,172004.0
396,SERIES,0,16,0,0,175657.0
397,SERIES,0,16,0,0,178527.0
398,SERIES,0,16,0,0,180940.0
399,SERIES,0,16,0,0,194052.0
400,SERIES,0,16,0,0,194054.0
401,SERIES,0,16,0,0,196990.0
402,SERIES,0,16,0,0,216711.0
403,SERIES,0,16,0,0,223727.0
404,SERIES,0,16,0,0,235744.0
405,SERIES,0,16,0,0,237784.0
406,SERIES,0,16,0,0,240215.0
407,SERIES,0,16,0,0,246084.0
408,SERIES,0,16,0,0,246085.0
409,SERIES,0,16,0,0,247699.0
410,SERIES,0,16,0,0,250012.0
411,SERIES,0,16,0,0,250049.0
412,SERIES,0,16,0,0,250175.0
413,SERIES,0,16,0,0,250488.0
414,SERIES,0,16,0,0,253929.0
415,SERIES,0,16,0,0,254219.0
416,SERIES,0,16,0,0,254885.0
417,SERIES,0,16,0,0,254919.0
418,SERIES,0,16,0,0,255415.0
419,SERIES,0,16,0,0,255740.0
420,SERIES,0,16,0,0,281814.0
421,7,0,16,0,0,302472.0
422,SERIES,0,16,0,0,308800.0
423,C,0,17,0,0,7326.0
424,C,0,17,0,0,7993.0
425,C,0,17,0,0,9040.0
426,C,0,17,0,0,9333.0
427,C,0,17,0,0,10349.0
428,C,0,17,0,0,11525.0
429,C,0,17,0,0,14406.0
430,C,0,17,0,0,15508.0
431,C,0,17,0,0,16681.0
432,C,0,17,0,0,18390.0
433,C,0,17,0,0,18492.0
434,C,0,17,0,0,47666.0
435,C,0,17,0,0,57036.0
