brand,model_fromsales,year,model_id,brand_id,yb_id,ybm_id
MERCEDES-BENZ,R CLASS,2012,274,24,256,2150
MERCEDES-BENZ,S CLASS,2002,275,24,246,129
MERCEDES-BENZ,S CLASS,2003,275,24,247,314
MERCEDES-BENZ,S CLASS,2004,275,24,248,514
MERCEDES-BENZ,S CLASS,2005,275,24,249,727
MERCEDES-BENZ,S CLASS,2006,275,24,250,933
MERCEDES-BENZ,S CLASS,2007,275,24,251,1147
MERCEDES-BENZ,S CLASS,2008,275,24,252,1364
MERCEDES-BENZ,S CLASS,2009,275,24,253,1576
MERCEDES-BENZ,S CLASS,2010,275,24,254,1789
MERCEDES-BENZ,S CLASS,2011,275,24,255,1974
MERCEDES-BENZ,S CLASS,2012,275,24,256,2151
MERCEDES-BENZ,S CLASS,2013,275,24,257,2335
MERCEDES-BENZ,SL CLASS,2002,276,24,246,130
MERCEDES-BENZ,SL CLASS,2003,276,24,247,315
MERCEDES-BENZ,SL CLASS,2004,276,24,248,515
MERCEDES-BENZ,SL CLASS,2005,276,24,249,728
MERCEDES-BENZ,SL CLASS,2006,276,24,250,934
MERCEDES-BENZ,SL CLASS,2007,276,24,251,1148
MERCEDES-BENZ,SL CLASS,2008,276,24,252,1365
MERCEDES-BENZ,SL CLASS,2009,276,24,253,1577
MERCEDES-BENZ,SLK CLASS,2002,277,24,246,131
MERCEDES-BENZ,SLK CLASS,2003,277,24,247,316
MERCEDES-BENZ,SLK CLASS,2004,277,24,248,516
MERCEDES-BENZ,SLK CLASS,2006,277,24,250,935
MERCEDES-BENZ,SLK CLASS,2007,277,24,251,1149
MERCEDES-BENZ,SLK CLASS,2008,277,24,252,1366
MERCEDES-BENZ,SLK CLASS,2009,277,24,253,1578
MERCEDES-BENZ,SLK CLASS,2011,277,24,255,1975
MERCEDES-BENZ,SLK CLASS,2012,277,24,256,2152
MERCEDES-BENZ,SLS CLASS,2012,278,24,256,2153
MERCURY,COUGAR,2002,279,25,258,132
MERCURY,GRAND MARQUIS,2002,280,25,258,133
MERCURY,GRAND MARQUIS,2003,280,25,259,317
MERCURY,GRAND MARQUIS,2004,280,25,260,517
MERCURY,GRAND MARQUIS,2005,280,25,261,729
MERCURY,GRAND MARQUIS,2006,280,25,262,936
MERCURY,GRAND MARQUIS,2007,280,25,263,1150
MERCURY,GRAND MARQUIS,2008,280,25,264,1367
MERCURY,GRAND MARQUIS,2009,280,25,265,1579
MERCURY,GRAND MARQUIS,2010,280,25,266,1790
MERCURY,MARINER,2005,281,25,261,730
MERCURY,MARINER,2006,281,25,262,937
MERCURY,MARINER,2007,281,25,263,1151
MERCURY,MARINER,2008,281,25,264,1368
MERCURY,MARINER,2009,281,25,265,1580
MERCURY,MARINER,2010,281,25,266,1791
MERCURY,MILAN,2006,282,25,262,938
MERCURY,MILAN,2007,282,25,263,1152
