,detected_entity,year,model_id,brand_id,yb_id,ybm_id,org_id
83432,SAAB,,347,33,,,247154
83433,SAAB,,347,33,,,247369
83434,LEXUS,,229,21,,,247371
83435,LACROSSE,,30,4,,,247372
83436,SAAB,,347,33,,,247372
83437,A6,,13,2,,,247376
83439,BMW,,19,3,,,247385
83440,SAAB,,347,33,,,247385
83441,SAAB,,347,33,,,247386
83442,AUDI,,,2,,,247387
83443,BMW,,19,3,,,247387
83444,SAAB,,,33,,,247387
83445,SAAB,,346,33,,,247388
83446,MERCEDES,,270,24,,,247406
83448,SAAB,,344,33,,,247406
83450,AUDI,,,2,,,247408
83451,SAAB,,347,33,,,247409
83452,AUDI,,,2,,,247410
83453,BMW,,17,3,,,247410
83454,MERCEDES,,275,24,,,247410
83455,SAAB,,347,33,,,247410
83456,VOLVO,,412,40,,,247410
83457,SAAB,,347,33,,,247411
83458,HONDA,,,12,,,247412
83459,SAAB,,,33,,,247412
83460,SAAB,,,33,,,247413
83461,SAAB,,347,33,,,247439
83462,BMW,,17,3,,,247440
83463,SAAB,,347,33,,,247440
83464,AUDI,,,2,,,247441
83465,BMW,,19,3,,,247441
83466,INFINITI,,174,15,,,247441
83467,LEXUS,,229,21,,,247441
83468,MERCEDES,,278,24,,,247441
83469,SAAB,,,33,,,247441
83470,TL,,8,1,,,247441
83471,MINI,,,26,,,247443
83472,SAAB,,,33,,,247444
83473,BMW,,,3,,,247445
83474,MERCEDES,,278,24,,,247445
83475,SAAB,,,33,,,247445
83476,SAAB,,,33,,,247447
83477,SAAB,,,33,,,247454
83478,SAAB,,,33,,,247455
83479,VOLVO,,412,40,,,247455
83480,SAAB,,,33,,,247456
83481,MERCEDES,,275,24,,,247457
83482,SAAB,,347,33,,,247457
83484,VOLKSWAGEN,,,39,,,247457
83485,SAAB,,347,33,,,247458
83486,SAAB,,,33,,,247459
83487,SAAB,,347,33,,,247474
83488,SAAB,,,33,,,247475
83489,SAAB,,,33,,,247476
83490,COLORADO,,58,6,,,247479
83491,SAAB,,347,33,,,247479
83492,BMW,,,3,,,247480
83493,SAAB,,347,33,,,247481
83495,SAAB,,,33,,,247482
83496,AUDI,,,2,,,247484
83497,BMW,,,3,,,247484
83498,LEXUS,,,21,,,247484
83499,SAAB,,,33,,,247484
83500,SAAB,,,33,,,247487
83501,SAAB,,,33,,,247488
