,ACURA,AUDI,BMW,BUICK,CADILLAC,CHEVROLET,CHRYSLER,DAEWOO,DODGE,FORD,GMC,HONDA,HUMMER,HYUNDAI,INFINITI,ISUZU,JAGUAR,JEEP,KIA,LAND ROVER,LEXUS,LINCOLN,MAZDA,MERCEDES-BENZ,MERCURY,MINI,MITSUBISHI,NISSAN,OLDSMOBILE,PONTIAC,PORSCHE,RAM,SAAB,SATURN,SCION,SUBARU,SUZUKI,TOYOTA,VOLKSWAGEN,VOLVO
GMC,0,0,0,0,0,0,0,0,0,0,0,0.4926470664438351,0.5584140912618074,0.28728516308803254,0.4763498582554269,2.403645433924492,0.4069251314389794,0.8094877966182439,0.35778434567005074,1.0966632292280496,0.5008631180796487,0.5124345096417267,0.5424332047654573,0.5052050002682122,0.3686262955388402,0.21860396595907963,0.4980116840392278,0.6933238210299804,0.8847031092932164,0.7372525910776804,0.25213667825623937,1.1559834316412172,0.3934217862701523,0.778525167111937,0.07315152168280485,0.2782751399496512,0.2506658809664113,0.8474325162326773,0.08729657546093926,0.691876003936478
HONDA,0,0,0,0,0,0,0,0,0,0,0,0,0.36109664870813496,1.1695062702799395,1.852919406722058,0.4611687441878394,0.23075073888475225,0.41662557096114344,0.9294850719973905,0.23378693281744636,0.4222260847892558,0.29631597617747885,1.4333228421573487,0.35621683817935396,0.7151129709710123,0.5464089941431014,0.9893367554327697,1.1110589668065678,0.5940938528066873,0.4754322499312775,0.29159677789803873,0.22697760467713238,0.36063993223857194,0.8261427809990742,1.1352766231757707,0.8402894720682791,0.8883903447062962,1.5129767155562859,0.8113918623554756,0.6123556209837682
HUMMER,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19307838485560047,0.40018104428686113,0.0,0.6837148000514337,2.9144995562825176,0.0,8.33562293729373,0.5167407486249911,0.8968660920606542,0.11114575567338578,0.9549499961752977,0.4424036941509277,0.45912243840663136,0.5229739033506,0.434672131035864,0.0,0.4424036941509277,0.264774717203489,0.5111265980967029,0.0,0.0,0.0,0.27503372888442523,0.5264603960396039,0.3062052549870869,0.10476823801783164,0.20042908478665125
HYUNDAI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7411666040276218,0.35618113005325386,1.055244419394786,0.4455394012572995,1.6447572619943993,0.05416921352893236,0.7155045451402797,0.3432870090760279,1.2762739401468368,0.55679473765043,0.7920540465574983,0.34013227099562177,1.1623063035347074,0.7862623700332716,0.34413382712498203,0.31409039777280107,0.1961533968524625,0.22088417167137464,0.40809093600271906,0.6580063974680127,0.5690929047786668,0.7131375781954351,1.170055012224939,1.1436841140578204,0.5109692977654515,0.38358402473533315
INFINITI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6151946038504258,1.2831201737451738,0.31965252131525196,2.074525609627794,0.5987894144144145,2.8022337049891677,0.918075763156683,0.6067957471898359,1.7468881639869631,0.26417180047694755,0.35248504772941547,0.6022592206237695,0.9381061625303575,0.7925154014308426,0.3773882863956393,1.1744905530006118,0.0,0.5638824081929463,0.22730119642264965,0.2096927910400673,0.598268047923849,0.35927364864864864,0.5811822291129485,0.6881609688046255,1.5216697999554123
ISUZU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.5361484941136818,0.7561146134521496,1.2139840182648403,0.544718232079573,1.4890434295582367,0.6151080176992857,0.19573810170209047,0.0,0.0,1.4471332668057697,0.9221400551564494,0.0,0.0,0.0,0.0,0.4355099617093597,0.8937305655937474,0.0,0.7610522360911492,2.9135616438356164,0.7060897432350633,0.09663554374247484,0.7394826507196997
JAGUAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1820435715426928,0.5376269491753921,1.1509199134199135,1.9365794289841964,1.9606812835092222,0.43736576583163495,5.706274075269708,1.160591509331005,0.6022255360918152,0.22865958544766493,0.22806174147855723,0.0,0.1934319182218342,1.8522768095274382,0.8939183793552725,1.2386582027837634,0.3177386264042706,0.0,0.5411377912466289,0.0,0.2119797562482755,0.2748465464883375,2.2784708945876457
JEEP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6426642002298697,1.440672598125366,0.393101799732293,0.36615464531755704,0.35511947946259287,0.3484327412328732,0.9030788941235545,0.2852368751788123,0.742641324968866,0.5555247340760638,0.16491005892690996,0.4122751473172749,0.21149404036728603,0.635090518197485,0.12571618841961746,0.9029584514863015,0.4363378991062209,0.7322954292792693,0.7943167838312829,0.49823379948836194,0.25105710463499725,0.4802900827883989
KIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15332324106113032,0.535323491809602,0.32910951232883173,1.0293481489959067,0.37081872208268,0.6570996045477014,0.5615909410960006,0.9138471321524324,0.6000430680856677,0.32468451048239366,0.48316147393213343,0.11566715587176639,0.26794352806799476,0.12375866991481373,0.6349275320016133,1.396017058688891,0.420520861421472,1.1499243079584776,0.8315794817710874,0.2746087899602334,0.3152076783236436
LAND ROVER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5325874425488821,0.6038898353208404,0.2806430330752991,2.679165267047363,0.3723564425770308,0.1288093507751938,0.36680808498896245,0.23170439429383974,0.0,0.062059407096171804,2.525656607991059,0.0,0.6623380667663179,0.339803808793456,0.0,0.3086489624147439,0.2954027777777778,0.6586248216064841,0.35271973466003315,1.6307133037225043
